framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
exo,AllHints,1,26,5,130,89,0.6846153846153846,0.4482396373869168,0.7520661157024793,0.37040305972344806,1.053932584269663,89,1.1488126843642799,14.881268436427986,c,130,89,41,34,0,7,0,0
exo,AllHints,2,26,10,260,222,0.8538461538461538,0.5642797556608595,0.7864198982256052,0.42284298265375087,1.0975120961128422,222,1.2145328224500176,21.45328224500176,c,130,89,41,34,0,7,0,0
exo,AllHints,3,26,10,260,240,0.9230769230769231,0.6444138410502919,0.8183242917420133,0.5819395737793362,1.1272727272727274,240,1.2611494493828685,26.114944938286854,c,130,89,41,34,0,7,0,0
exo,AllHints,4,26,5,130,124,0.9538461538461539,0.7253440623827861,0.9480968858131489,0.627674085251749,1.521311475409836,124,1.2996168514595718,29.961685145957183,c,130,89,41,34,0,7,0,0
exo,AllHints,5,26,1,26,25,0.9615384615384616,0.8038167877965895,0.9500000000000002,0.7044290199966948,1.521311475409836,25,1.3314776774151535,33.14776774151535,c,130,89,41,34,0,7,0,0
exo,ChooseHints,1,26,5,130,87,0.6692307692307692,0.6752242005531007,0.8990976210008202,0.5839589283285733,1.6884848484848483,87,1.224813083831208,22.48130838312079,c,130,87,43,38,0,5,0,0
exo,ChooseHints,2,26,10,260,222,0.8538461538461538,0.7437453357236784,0.9852064708386548,0.6183003725995987,1.6969696969696968,222,1.3249634824695296,32.496348246952955,c,130,87,43,38,0,5,0,0
exo,ChooseHints,3,26,10,260,236,0.9076923076923077,0.8157728020474708,1.0585106382978724,0.6988277727682598,1.6994818652849744,236,1.3807048607090666,38.07048607090666,c,130,87,43,38,0,5,0,0
exo,ChooseHints,4,26,5,130,122,0.9384615384615385,0.8629870951680354,1.0833333333333333,0.7037037037037037,1.8604651162790695,122,1.4274816004964224,42.74816004964224,c,130,87,43,38,0,5,0,0
exo,ChooseHints,5,26,1,26,25,0.9615384615384616,0.892464734311288,1.1176470588235294,0.7844827586206896,1.8604651162790695,25,1.46890993799516,46.890993799516,c,130,87,43,38,0,5,0,0
