framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
halide,Naive,1,30,5,150,21,0.14,0.25833488255833836,0.27004056437835167,0.17253658797898405,0.4864891497387432,21,1.0028972367578282,0.2897236757828159,c,150,21,129,39,82,7,3,0
halide,Naive,2,30,10,300,71,0.23666666666666666,0.27119860721439,0.3356647743276614,0.17615870602014233,0.7389489367859764,71,1.0058028674964874,0.5802867496487396,c,150,21,129,39,82,7,3,0
halide,Naive,3,30,10,300,92,0.30666666666666664,0.2840488335540878,0.3356647743276614,0.18350905342460025,0.7389489367859764,92,1.0087169165353274,0.8716916535327357,c,150,21,129,39,82,7,3,0
halide,Naive,4,30,5,150,54,0.36,0.29791067023032797,0.3356647743276614,0.18350905342460025,0.7389489367859764,54,1.0116394082641567,1.1639408264156659,c,150,21,129,39,82,7,3,0
halide,Naive,5,30,1,30,12,0.4,0.31598850557524455,0.39834696833672373,0.19562686254887723,0.766777399931982,12,1.0145703671434472,1.4570367143447172,c,150,21,129,39,82,7,3,0
noarr,AllHints,1,30,5,150,128,0.8533333333333334,1.0711985270374667,1.20820503112767,0.979269488033274,2.095993631573285,128,1.4202033023507445,42.020330235074454,c,150,128,22,15,0,7,0,0
noarr,AllHints,2,30,10,300,268,0.8933333333333333,1.4271718219002048,1.2982026391729007,1.1219357767436893,2.417393800985921,268,1.5934530900040154,59.345309000401535,c,150,128,22,15,0,7,0,0
noarr,AllHints,3,30,10,300,270,0.9,1.6192595604219877,1.4715848598958132,1.1492842206966578,2.463551085414526,270,1.6769957499115165,67.69957499115165,c,150,128,22,15,0,7,0,0
noarr,AllHints,4,30,5,150,135,0.9,1.7178122380453877,1.6024406674167608,1.1768928795580593,2.531556168614606,135,1.7235018721560575,72.35018721560576,c,150,128,22,15,0,7,0,0
noarr,AllHints,5,30,1,30,27,0.9,1.7720768521135954,1.748689892218172,1.1832270022424571,2.537653449308305,27,1.7584675208349392,75.84675208349393,c,150,128,22,15,0,7,0,0
noarr,ChooseHints,1,30,5,150,128,0.8533333333333334,1.1327677488176764,1.183127993899516,1.0038600183009934,2.2480394223740325,128,1.417365738028428,41.73657380284279,c,150,128,22,13,0,9,0,0
noarr,ChooseHints,2,30,10,300,268,0.8933333333333333,1.3707759346605106,1.3116776903508285,1.0753338667373802,2.4337220361735588,268,1.5500456776610922,55.004567766109226,c,150,128,22,13,0,9,0,0
noarr,ChooseHints,3,30,10,300,270,0.9,1.5147992899542737,1.3465954588883047,1.1083236938487164,2.4810770723476,270,1.6109256779377008,61.09256779377008,c,150,128,22,13,0,9,0,0
noarr,ChooseHints,4,30,5,150,135,0.9,1.6230756569218603,1.3790759780006683,1.1083236938487164,2.5272625344185276,135,1.6424709405394855,64.24709405394854,c,150,128,22,13,0,9,0,0
noarr,ChooseHints,5,30,1,30,27,0.9,1.7009865969159779,1.3790759780006683,1.123877128254327,2.5481784776819945,27,1.6631490797689235,66.31490797689234,c,150,128,22,13,0,9,0,0
noarr,FromPlan,1,30,5,150,117,0.78,1.2155425878082136,1.2133061706644281,0.8940607441086453,1.575957283503032,117,1.2996579394781491,29.965793947814912,c,150,117,33,24,2,6,2,0
noarr,FromPlan,2,30,10,300,262,0.8733333333333333,1.3750666602211479,1.295799595446009,0.991770860592369,1.8887561963239676,262,1.426515027029564,42.65150270295639,c,150,117,33,24,2,6,2,0
noarr,FromPlan,3,30,10,300,268,0.8933333333333333,1.4801405973357356,1.3708060518755825,1.0471108608743291,1.9853911622288423,268,1.504546778356604,50.4546778356604,c,150,117,33,24,2,6,2,0
noarr,FromPlan,4,30,5,150,135,0.9,1.5581528726048355,1.4119882183110273,1.059934117900622,2.2043531938108845,135,1.5576321560621802,55.76321560621802,c,150,117,33,24,2,6,2,0
noarr,FromPlan,5,30,1,30,27,0.9,1.6264610394264272,1.4661388351923452,1.1243050352011195,2.2774729551007944,27,1.5970134633303747,59.70134633303748,c,150,117,33,24,2,6,2,0
noarr,Naive,1,30,5,150,126,0.84,1.3564003854161066,1.2392117723878786,1.0147489951319302,2.5080865168887447,126,1.461574976231455,46.157497623145495,c,150,126,24,16,0,8,0,0
noarr,Naive,2,30,10,300,269,0.8966666666666666,1.5298676278693664,1.3062882804925935,1.0369866800390144,2.5758931264371707,269,1.5956672980078612,59.56672980078612,c,150,126,24,16,0,8,0,0
noarr,Naive,3,30,10,300,270,0.9,1.6792027526730555,1.533253530679516,1.0647168280744885,2.612115172384646,270,1.66229079748674,66.229079748674,c,150,126,24,16,0,8,0,0
noarr,Naive,4,30,5,150,135,0.9,1.7555242540181002,1.6152972685475055,1.1053452116637554,2.613652676312762,135,1.7026402649472183,70.26402649472183,c,150,126,24,16,0,8,0,0
noarr,Naive,5,30,1,30,27,0.9,1.7950216710539884,1.8630512176135394,1.106472463786015,2.613652676312762,27,1.7348038225110547,73.48038225110547,c,150,126,24,16,0,8,0,0
